0 3 1
34 5
vdd vin vout I(V1) I(V2) 
3.3 0 3.30000000000001 0 0 
3.3 0.1 3.3 0 0 
3.3 0.2 3.3 0 0 
3.3 0.3 3.3 0 0 
3.3 0.4 3.3 0 0 
3.3 0.5 3.3 0 0 
3.3 0.6 3.3 0 0 
3.3 0.7 3.3 0 0 
3.3 0.7999999999999999 3.293153505100973 -8.921367646110902e-007 0 
3.3 0.8999999999999999 3.270872977795868 -3.562565850889325e-006 0 
3.3 0.9999999999999999 3.229864344298622 -7.991003437260722e-006 0 
3.3 1.1 3.165322010989887 -1.413692277540095e-005 0 
3.3 1.2 3.069314911647171 -2.192785992519801e-005 0 
3.3 1.3 2.926032035563406 -3.122993969952298e-005 0 
3.3 1.4 2.690043716861775 -4.173136738844644e-005 0 
3.3 1.5 1.730769230769226 -5.038599999999998e-005 0 
3.3 1.6 0.5413207288657831 -4.820234670777548e-005 0 
3.3 1.7 0.3390821469266495 -3.90785535571664e-005 0 
3.3 1.8 0.2238505114502835 -3.035259262281633e-005 0 
3.3 1.900000000000001 0.1467188295136988 -2.251283996794671e-005 0 
3.3 2 0.09266503574484661 -1.573756479395921e-005 0 
3.3 2.100000000000001 0.05462035266329901 -1.011872990321157e-005 0 
3.3 2.200000000000001 0.02855022568356214 -5.709781779210607e-006 0 
3.3 2.300000000000001 0.01187017921994498 -2.542798229015293e-006 0 
3.3 2.400000000000001 0.002790490187765228 -6.36395969402585e-007 0 
3.3 2.500000000000001 7.269687249621923e-021 0 0 
3.3 2.600000000000001 6.589483190869085e-031 0 0 
3.3 2.700000000000001 5.202224492442815e-041 0 0 
3.3 2.800000000000001 3.592012352876238e-051 0 0 
3.3 2.900000000000001 2.17697738806914e-061 0 0 
3.3 3.000000000000001 1.161628246467994e-071 0 0 
3.3 3.100000000000001 5.471437697316471e-082 0 0 
3.3 3.200000000000002 2.279765731455081e-092 0 0 
3.3 3.300000000000002 8.417597708739534e-103 0 0 
