V2 0 3.3 0.1
34 5
vdd vin vout I(V1) I(V2) 
3.3 0 3.30000000000001 0 0 
3.3 0.1 3.3 0 0 
3.3 0.2 3.3 0 0 
3.3 0.3 3.3 0 0 
3.3 0.4 3.3 0 0 
3.3 0.5 3.299999999999999 0 0 
3.3 0.6 3.3 0 0 
3.3 0.7 3.3 0 0 
3.3 0.7999999999999999 3.293153505100973 -8.92136764611088e-007 0 
3.3 0.8999999999999999 3.270872977795868 -3.562565850889288e-006 0 
3.3 0.9999999999999999 3.229864344298622 -7.991003437260674e-006 0 
3.3 1.1 3.165322010989887 -1.413692277540095e-005 0 
3.3 1.2 3.069314911647171 -2.192785992519803e-005 0 
3.3 1.3 2.926032035563406 -3.122993969952294e-005 0 
3.3 1.4 2.690043716861775 -4.173136738844644e-005 0 
3.3 1.5 1.730769230769223 -5.0386e-005 0 
3.3 1.6 0.5413207288657824 -4.82023467077755e-005 0 
3.3 1.7 0.3390821469266495 -3.907855355716642e-005 0 
3.3 1.8 0.2238505114502838 -3.035259262281632e-005 0 
3.3 1.900000000000001 0.1467188295136991 -2.25128399679467e-005 0 
3.3 2 0.09266503574484664 -1.573756479395924e-005 0 
3.3 2.100000000000001 0.05462035266329897 -1.011872990321158e-005 0 
3.3 2.200000000000001 0.02855022568356214 -5.709781779210604e-006 0 
3.3 2.300000000000001 0.011870179219945 -2.542798229015305e-006 0 
3.3 2.400000000000001 0.00279049018776524 -6.363959694025806e-007 0 
3.3 2.500000000000001 7.269690129688521e-021 0 0 
3.3 2.600000000000001 6.589485615568332e-031 0 0 
3.3 2.700000000000001 5.202224635369952e-041 0 0 
3.3 2.800000000000001 3.592011474576856e-051 0 0 
3.3 2.900000000000001 2.176976421354046e-061 0 0 
3.3 3.000000000000001 1.161627502557194e-071 0 0 
3.3 3.100000000000001 5.471433754558445e-082 0 0 
3.3 3.200000000000002 2.279763822441507e-092 0 0 
3.3 3.300000000000002 8.417587633622766e-103 0 0 
